Hanzi,Pinyin,Part of Speech,Translation
租,zū,(V),to rent
房東,fángdōng,(N),landlord
客廳,kètīng,(N),living room
廚房,chúfáng,(N),kitchen
左邊,zuǒbiān,(N),left (side)
右邊,yòubiān,(N),right (side)
浴室,yùshì,(N),bathroom
超市,chāoshì,(N),supermarket
走路,zǒulù,(V-sep),to walk
分鐘,fēnzhōng,(M),measure word for minutes
就,jiù,(Adv),"only, merely"
到,dào,(Vp),arrive
間,jiān,(M),"measure word for houses, rooms, etc."
空,kōng,(Vs),"vacant, empty"
房間,fángjiān,(N),room
套房,tàofáng,(N),suite
回去,huíqù,(Vi),to go back, to return
想,xiǎng,(V),to think
再,zài,(Adv),and then
電話,diànhuà,(N),telephone
給,gěi,(Prep),to
林,Lín,,Chinese last name common in Taiwan
打電話,dǎ diànhuà,,to make a phone call
